sample,sequence,sequence_labels_csv
open_ENSG00000067445,ENSG00000067445,resources/sample_labels/open_labels.csv
open_ENSG00000073331,ENSG00000073331,resources/sample_labels/open_labels.csv
open_ENSG00000102226,ENSG00000102226,resources/sample_labels/open_labels.csv
open_ENSG00000103310,ENSG00000103310,resources/sample_labels/open_labels.csv
open_ENSG00000113905,ENSG00000113905,resources/sample_labels/open_labels.csv
open_ENSG00000122188,ENSG00000122188,resources/sample_labels/open_labels.csv
open_ENSG00000129673,ENSG00000129673,resources/sample_labels/open_labels.csv
open_ENSG00000132297,ENSG00000132297,resources/sample_labels/open_labels.csv
open_ENSG00000137090,ENSG00000137090,resources/sample_labels/open_labels.csv
open_ENSG00000146090,ENSG00000146090,resources/sample_labels/open_labels.csv
open_ENSG00000152926,ENSG00000152926,resources/sample_labels/open_labels.csv
open_ENSG00000154545,ENSG00000154545,resources/sample_labels/open_labels.csv
open_ENSG00000157653,ENSG00000157653,resources/sample_labels/open_labels.csv
open_ENSG00000160961,ENSG00000160961,resources/sample_labels/open_labels.csv
open_ENSG00000170099,ENSG00000170099,resources/sample_labels/open_labels.csv
open_ENSG00000173535,ENSG00000173535,resources/sample_labels/open_labels.csv
open_ENSG00000175485,ENSG00000175485,resources/sample_labels/open_labels.csv
open_ENSG00000176925,ENSG00000176925,resources/sample_labels/open_labels.csv
open_ENSG00000189253,ENSG00000189253,resources/sample_labels/open_labels.csv
open_ENSG00000203859,ENSG00000203859,resources/sample_labels/open_labels.csv
open_ENSG00000244731,ENSG00000244731,resources/sample_labels/open_labels.csv
edge_ENSG00000100053,ENSG00000100053,resources/sample_labels/edge_labels.csv
edge_ENSG00000100122,ENSG00000100122,resources/sample_labels/edge_labels.csv
edge_ENSG00000111305,ENSG00000111305,resources/sample_labels/edge_labels.csv
edge_ENSG00000120563,ENSG00000120563,resources/sample_labels/edge_labels.csv
edge_ENSG00000124091,ENSG00000124091,resources/sample_labels/edge_labels.csv
edge_ENSG00000127377,ENSG00000127377,resources/sample_labels/edge_labels.csv
edge_ENSG00000136002,ENSG00000136002,resources/sample_labels/edge_labels.csv
edge_ENSG00000138161,ENSG00000138161,resources/sample_labels/edge_labels.csv
edge_ENSG00000151033,ENSG00000151033,resources/sample_labels/edge_labels.csv
edge_ENSG00000163499,ENSG00000163499,resources/sample_labels/edge_labels.csv
edge_ENSG00000166926,ENSG00000166926,resources/sample_labels/edge_labels.csv
edge_ENSG00000171501,ENSG00000171501,resources/sample_labels/edge_labels.csv
edge_ENSG00000182187,ENSG00000182187,resources/sample_labels/edge_labels.csv
edge_ENSG00000186814,ENSG00000186814,resources/sample_labels/edge_labels.csv
edge_ENSG00000196431,ENSG00000196431,resources/sample_labels/edge_labels.csv
edge_ENSG00000204923,ENSG00000204923,resources/sample_labels/edge_labels.csv
edge_ENSG00000249481,ENSG00000249481,resources/sample_labels/edge_labels.csv
edge_ENSG00000283324,ENSG00000283324,resources/sample_labels/edge_labels.csv
edge_ENSG00000284194,ENSG00000284194,resources/sample_labels/edge_labels.csv
narrow_ENSG00000114626,ENSG00000114626,resources/sample_labels/narrow_labels.csv
narrow_ENSG00000137078,ENSG00000137078,resources/sample_labels/narrow_labels.csv
narrow_ENSG00000147588,ENSG00000147588,resources/sample_labels/narrow_labels.csv
narrow_ENSG00000180425,ENSG00000180425,resources/sample_labels/narrow_labels.csv
narrow_ENSG00000203733,ENSG00000203733,resources/sample_labels/narrow_labels.csv
aerial_ENSG00000067221,ENSG00000067221,resources/sample_labels/aerial_labels.csv
