sample,sequence,sequence_labels_csv
all_ENSG00000006015,ENSG00000006015
all_ENSG00000011638,ENSG00000011638
all_ENSG00000067221,ENSG00000067221
all_ENSG00000067445,ENSG00000067445
all_ENSG00000072163,ENSG00000072163
all_ENSG00000073008,ENSG00000073008
all_ENSG00000073331,ENSG00000073331
all_ENSG00000075407,ENSG00000075407
all_ENSG00000100053,ENSG00000100053
all_ENSG00000100122,ENSG00000100122
all_ENSG00000101353,ENSG00000101353
all_ENSG00000102226,ENSG00000102226
all_ENSG00000103199,ENSG00000103199
all_ENSG00000103310,ENSG00000103310
all_ENSG00000103355,ENSG00000103355
all_ENSG00000106479,ENSG00000106479
all_ENSG00000110245,ENSG00000110245
all_ENSG00000111305,ENSG00000111305
all_ENSG00000112299,ENSG00000112299
all_ENSG00000113905,ENSG00000113905
all_ENSG00000114626,ENSG00000114626
all_ENSG00000115226,ENSG00000115226
all_ENSG00000120563,ENSG00000120563
all_ENSG00000122188,ENSG00000122188
all_ENSG00000122432,ENSG00000122432
all_ENSG00000123576,ENSG00000123576
all_ENSG00000124091,ENSG00000124091
all_ENSG00000125731,ENSG00000125731
all_ENSG00000125813,ENSG00000125813
all_ENSG00000126947,ENSG00000126947
all_ENSG00000127377,ENSG00000127377
all_ENSG00000127529,ENSG00000127529
all_ENSG00000129673,ENSG00000129673
all_ENSG00000132297,ENSG00000132297
all_ENSG00000133138,ENSG00000133138
all_ENSG00000134640,ENSG00000134640
all_ENSG00000137078,ENSG00000137078
all_ENSG00000137090,ENSG00000137090
all_ENSG00000137656,ENSG00000137656
all_ENSG00000138161,ENSG00000138161
all_ENSG00000138755,ENSG00000138755
all_ENSG00000140511,ENSG00000140511
all_ENSG00000141574,ENSG00000141574
all_ENSG00000143954,ENSG00000143954
all_ENSG00000146090,ENSG00000146090
all_ENSG00000147223,ENSG00000147223
all_ENSG00000147588,ENSG00000147588
all_ENSG00000149021,ENSG00000149021
all_ENSG00000149243,ENSG00000149243
all_ENSG00000149346,ENSG00000149346
all_ENSG00000150244,ENSG00000150244
all_ENSG00000151033,ENSG00000151033
all_ENSG00000152034,ENSG00000152034
all_ENSG00000152207,ENSG00000152207
all_ENSG00000152926,ENSG00000152926
all_ENSG00000153093,ENSG00000153093
all_ENSG00000154545,ENSG00000154545
all_ENSG00000157653,ENSG00000157653
all_ENSG00000158163,ENSG00000158163
all_ENSG00000160961,ENSG00000160961
all_ENSG00000162836,ENSG00000162836
all_ENSG00000163377,ENSG00000163377
all_ENSG00000163499,ENSG00000163499
all_ENSG00000164299,ENSG00000164299
all_ENSG00000165182,ENSG00000165182
all_ENSG00000165507,ENSG00000165507
all_ENSG00000165583,ENSG00000165583
all_ENSG00000165584,ENSG00000165584
all_ENSG00000166268,ENSG00000166268
all_ENSG00000166926,ENSG00000166926
all_ENSG00000167476,ENSG00000167476
all_ENSG00000167536,ENSG00000167536
all_ENSG00000167543,ENSG00000167543
all_ENSG00000168005,ENSG00000168005
all_ENSG00000170099,ENSG00000170099
all_ENSG00000170289,ENSG00000170289
all_ENSG00000170430,ENSG00000170430
all_ENSG00000171501,ENSG00000171501
all_ENSG00000172016,ENSG00000172016
all_ENSG00000172023,ENSG00000172023
all_ENSG00000172771,ENSG00000172771
all_ENSG00000173535,ENSG00000173535
all_ENSG00000173762,ENSG00000173762
all_ENSG00000174225,ENSG00000174225
all_ENSG00000174448,ENSG00000174448
all_ENSG00000175485,ENSG00000175485
all_ENSG00000175518,ENSG00000175518
all_ENSG00000175877,ENSG00000175877
all_ENSG00000176925,ENSG00000176925
all_ENSG00000177414,ENSG00000177414
all_ENSG00000177943,ENSG00000177943
all_ENSG00000178279,ENSG00000178279
all_ENSG00000180425,ENSG00000180425
all_ENSG00000180938,ENSG00000180938
all_ENSG00000181009,ENSG00000181009
all_ENSG00000182187,ENSG00000182187
all_ENSG00000182853,ENSG00000182853
all_ENSG00000184949,ENSG00000184949
all_ENSG00000184995,ENSG00000184995
all_ENSG00000185306,ENSG00000185306
all_ENSG00000186205,ENSG00000186205
all_ENSG00000186814,ENSG00000186814
all_ENSG00000187754,ENSG00000187754
all_ENSG00000188817,ENSG00000188817
all_ENSG00000189037,ENSG00000189037
all_ENSG00000189064,ENSG00000189064
all_ENSG00000189108,ENSG00000189108
all_ENSG00000189253,ENSG00000189253
all_ENSG00000196431,ENSG00000196431
all_ENSG00000196678,ENSG00000196678
all_ENSG00000196754,ENSG00000196754
all_ENSG00000197279,ENSG00000197279
all_ENSG00000197444,ENSG00000197444
all_ENSG00000197586,ENSG00000197586
all_ENSG00000197798,ENSG00000197798
all_ENSG00000197937,ENSG00000197937
all_ENSG00000198553,ENSG00000198553
all_ENSG00000198556,ENSG00000198556
all_ENSG00000203733,ENSG00000203733
all_ENSG00000203859,ENSG00000203859
all_ENSG00000204033,ENSG00000204033
all_ENSG00000204065,ENSG00000204065
all_ENSG00000204385,ENSG00000204385
all_ENSG00000204421,ENSG00000204421
all_ENSG00000204498,ENSG00000204498
all_ENSG00000204923,ENSG00000204923
all_ENSG00000205126,ENSG00000205126
all_ENSG00000205777,ENSG00000205777
all_ENSG00000213927,ENSG00000213927
all_ENSG00000215269,ENSG00000215269
all_ENSG00000215274,ENSG00000215274
all_ENSG00000215529,ENSG00000215529
all_ENSG00000216649,ENSG00000216649
all_ENSG00000224659,ENSG00000224659
all_ENSG00000224902,ENSG00000224902
all_ENSG00000227488,ENSG00000227488
all_ENSG00000230561,ENSG00000230561
all_ENSG00000236362,ENSG00000236362
all_ENSG00000237524,ENSG00000237524
all_ENSG00000237671,ENSG00000237671
all_ENSG00000239605,ENSG00000239605
all_ENSG00000240694,ENSG00000240694
all_ENSG00000241476,ENSG00000241476
all_ENSG00000249481,ENSG00000249481
all_ENSG00000258388,ENSG00000258388
all_ENSG00000258839,ENSG00000258839
all_ENSG00000265203,ENSG00000265203
all_ENSG00000268009,ENSG00000268009
all_ENSG00000268447,ENSG00000268447
all_ENSG00000269190,ENSG00000269190
all_ENSG00000269791,ENSG00000269791
all_ENSG00000274274,ENSG00000274274
all_ENSG00000276240,ENSG00000276240
all_ENSG00000283324,ENSG00000283324
all_ENSG00000284194,ENSG00000284194
