sample,sequence,sequence_labels_csv
open_ENSG00000113905,ENSG00000113905,resources/sample_labels/open_labels.csv
open_ENSG00000129673,ENSG00000129673,resources/sample_labels/open_labels.csv
open_ENSG00000137090,ENSG00000137090,resources/sample_labels/open_labels.csv
open_ENSG00000146090,ENSG00000146090,resources/sample_labels/open_labels.csv
open_ENSG00000176925,ENSG00000176925,resources/sample_labels/open_labels.csv
edge_ENSG00000124091,ENSG00000124091,resources/sample_labels/edge_labels.csv
edge_ENSG00000127377,ENSG00000127377,resources/sample_labels/edge_labels.csv
narrow_ENSG00000114626,ENSG00000114626,resources/sample_labels/narrow_labels.csv
aerial_ENSG00000067221,ENSG00000067221,resources/sample_labels/aerial_labels.csv
aerial_ENSG00000122432,ENSG00000122432,resources/sample_labels/aerial_labels.csv
aerial_ENSG00000124091,ENSG00000124091,resources/sample_labels/aerial_labels.csv
aerial_ENSG00000204033,ENSG00000204033,resources/sample_labels/aerial_labels.csv
flutter_ENSG00000184949,ENSG00000184949,resources/sample_labels/flutter_labels.csv
flutter_ENSG00000186205,ENSG00000186205,resources/sample_labels/flutter_labels.csv
gleaning_ENSG00000106479,ENSG00000106479,resources/sample_labels/gleaning_labels.csv
gleaning_ENSG00000112299,ENSG00000112299,resources/sample_labels/gleaning_labels.csv
gleaning_ENSG00000114626,ENSG00000114626,resources/sample_labels/gleaning_labels.csv
gleaning_ENSG00000152034,ENSG00000152034,resources/sample_labels/gleaning_labels.csv
gleaning_ENSG00000170289,ENSG00000170289,resources/sample_labels/gleaning_labels.csv
gleaning_ENSG00000180938,ENSG00000180938,resources/sample_labels/gleaning_labels.csv
gleaning_ENSG00000197279,ENSG00000197279,resources/sample_labels/gleaning_labels.csv
gleaning_ENSG00000197937,ENSG00000197937,resources/sample_labels/gleaning_labels.csv
gleaning_ENSG00000198553,ENSG00000198553,resources/sample_labels/gleaning_labels.csv
gleaning_ENSG00000240694,ENSG00000240694,resources/sample_labels/gleaning_labels.csv
gleaning_ENSG00000258839,ENSG00000258839,resources/sample_labels/gleaning_labels.csv
passive_active_gleaning_ENSG00000112299,ENSG00000112299,resources/sample_labels/passive_active_gleaning_labels.csv
passive_active_gleaning_ENSG00000125731,ENSG00000125731,resources/sample_labels/passive_active_gleaning_labels.csv
passive_active_gleaning_ENSG00000126947,ENSG00000126947,resources/sample_labels/passive_active_gleaning_labels.csv
passive_active_gleaning_ENSG00000127529,ENSG00000127529,resources/sample_labels/passive_active_gleaning_labels.csv
passive_active_gleaning_ENSG00000149243,ENSG00000149243,resources/sample_labels/passive_active_gleaning_labels.csv
passive_active_gleaning_ENSG00000170289,ENSG00000170289,resources/sample_labels/passive_active_gleaning_labels.csv
passive_active_gleaning_ENSG00000172771,ENSG00000172771,resources/sample_labels/passive_active_gleaning_labels.csv
passive_active_gleaning_ENSG00000177943,ENSG00000177943,resources/sample_labels/passive_active_gleaning_labels.csv
passive_active_gleaning_ENSG00000197586,ENSG00000197586,resources/sample_labels/passive_active_gleaning_labels.csv
passive_active_gleaning_ENSG00000230561,ENSG00000230561,resources/sample_labels/passive_active_gleaning_labels.csv
