sample,sequence,sequence_labels_csv
aerial_ENSG00000067221,ENSG00000067221,resources/sample_labels/aerial_labels.csv
aerial_ENSG00000073008,ENSG00000073008,resources/sample_labels/aerial_labels.csv
aerial_ENSG00000075407,ENSG00000075407,resources/sample_labels/aerial_labels.csv
aerial_ENSG00000111305,ENSG00000111305,resources/sample_labels/aerial_labels.csv
aerial_ENSG00000122432,ENSG00000122432,resources/sample_labels/aerial_labels.csv
aerial_ENSG00000124091,ENSG00000124091,resources/sample_labels/aerial_labels.csv
aerial_ENSG00000138161,ENSG00000138161,resources/sample_labels/aerial_labels.csv
aerial_ENSG00000158163,ENSG00000158163,resources/sample_labels/aerial_labels.csv
aerial_ENSG00000167476,ENSG00000167476,resources/sample_labels/aerial_labels.csv
aerial_ENSG00000175518,ENSG00000175518,resources/sample_labels/aerial_labels.csv
aerial_ENSG00000186814,ENSG00000186814,resources/sample_labels/aerial_labels.csv
aerial_ENSG00000204033,ENSG00000204033,resources/sample_labels/aerial_labels.csv
aerial_ENSG00000265203,ENSG00000265203,resources/sample_labels/aerial_labels.csv
all_ENSG00000067221,ENSG00000067221,
all_ENSG00000067445,ENSG00000067445,
all_ENSG00000072163,ENSG00000072163,
all_ENSG00000073008,ENSG00000073008,
all_ENSG00000073331,ENSG00000073331,
all_ENSG00000075407,ENSG00000075407,
all_ENSG00000102226,ENSG00000102226,
all_ENSG00000103199,ENSG00000103199,
all_ENSG00000103310,ENSG00000103310,
all_ENSG00000106479,ENSG00000106479,
all_ENSG00000111305,ENSG00000111305,
all_ENSG00000112299,ENSG00000112299,
all_ENSG00000113905,ENSG00000113905,
all_ENSG00000114626,ENSG00000114626,
all_ENSG00000122188,ENSG00000122188,
all_ENSG00000122432,ENSG00000122432,
all_ENSG00000123576,ENSG00000123576,
all_ENSG00000124091,ENSG00000124091,
all_ENSG00000125731,ENSG00000125731,
all_ENSG00000125813,ENSG00000125813,
all_ENSG00000126947,ENSG00000126947,
all_ENSG00000132297,ENSG00000132297,
all_ENSG00000133138,ENSG00000133138,
all_ENSG00000134640,ENSG00000134640,
all_ENSG00000137090,ENSG00000137090,
all_ENSG00000137656,ENSG00000137656,
all_ENSG00000138161,ENSG00000138161,
all_ENSG00000140511,ENSG00000140511,
all_ENSG00000146090,ENSG00000146090,
all_ENSG00000149243,ENSG00000149243,
all_ENSG00000149346,ENSG00000149346,
all_ENSG00000152034,ENSG00000152034,
all_ENSG00000152207,ENSG00000152207,
all_ENSG00000152926,ENSG00000152926,
all_ENSG00000153093,ENSG00000153093,
all_ENSG00000154545,ENSG00000154545,
all_ENSG00000157653,ENSG00000157653,
all_ENSG00000158163,ENSG00000158163,
all_ENSG00000160961,ENSG00000160961,
all_ENSG00000162836,ENSG00000162836,
all_ENSG00000164299,ENSG00000164299,
all_ENSG00000165182,ENSG00000165182,
all_ENSG00000166268,ENSG00000166268,
all_ENSG00000167476,ENSG00000167476,
all_ENSG00000167536,ENSG00000167536,
all_ENSG00000167543,ENSG00000167543,
all_ENSG00000168005,ENSG00000168005,
all_ENSG00000170099,ENSG00000170099,
all_ENSG00000170289,ENSG00000170289,
all_ENSG00000172771,ENSG00000172771,
all_ENSG00000175518,ENSG00000175518,
all_ENSG00000176925,ENSG00000176925,
all_ENSG00000177943,ENSG00000177943,
all_ENSG00000180938,ENSG00000180938,
all_ENSG00000181009,ENSG00000181009,
all_ENSG00000184949,ENSG00000184949,
all_ENSG00000185306,ENSG00000185306,
all_ENSG00000186205,ENSG00000186205,
all_ENSG00000186814,ENSG00000186814,
all_ENSG00000189108,ENSG00000189108,
all_ENSG00000189253,ENSG00000189253,
all_ENSG00000196678,ENSG00000196678,
all_ENSG00000197279,ENSG00000197279,
all_ENSG00000197444,ENSG00000197444,
all_ENSG00000197586,ENSG00000197586,
all_ENSG00000197798,ENSG00000197798,
all_ENSG00000197937,ENSG00000197937,
all_ENSG00000198556,ENSG00000198556,
all_ENSG00000203859,ENSG00000203859,
all_ENSG00000204033,ENSG00000204033,
all_ENSG00000204385,ENSG00000204385,
all_ENSG00000204498,ENSG00000204498,
all_ENSG00000205126,ENSG00000205126,
all_ENSG00000215529,ENSG00000215529,
all_ENSG00000240694,ENSG00000240694,
all_ENSG00000258839,ENSG00000258839,
all_ENSG00000265203,ENSG00000265203,
edge_ENSG00000111305,ENSG00000111305,resources/sample_labels/edge_labels.csv
edge_ENSG00000124091,ENSG00000124091,resources/sample_labels/edge_labels.csv
edge_ENSG00000138161,ENSG00000138161,resources/sample_labels/edge_labels.csv
edge_ENSG00000186814,ENSG00000186814,resources/sample_labels/edge_labels.csv
flutter_ENSG00000181009,ENSG00000181009,resources/sample_labels/flutter_labels.csv
flutter_ENSG00000184949,ENSG00000184949,resources/sample_labels/flutter_labels.csv
flutter_ENSG00000186205,ENSG00000186205,resources/sample_labels/flutter_labels.csv
gleaning_ENSG00000072163,ENSG00000072163,resources/sample_labels/gleaning_labels.csv
gleaning_ENSG00000103199,ENSG00000103199,resources/sample_labels/gleaning_labels.csv
gleaning_ENSG00000106479,ENSG00000106479,resources/sample_labels/gleaning_labels.csv
gleaning_ENSG00000112299,ENSG00000112299,resources/sample_labels/gleaning_labels.csv
gleaning_ENSG00000114626,ENSG00000114626,resources/sample_labels/gleaning_labels.csv
gleaning_ENSG00000149243,ENSG00000149243,resources/sample_labels/gleaning_labels.csv
gleaning_ENSG00000152034,ENSG00000152034,resources/sample_labels/gleaning_labels.csv
gleaning_ENSG00000153093,ENSG00000153093,resources/sample_labels/gleaning_labels.csv
gleaning_ENSG00000162836,ENSG00000162836,resources/sample_labels/gleaning_labels.csv
gleaning_ENSG00000164299,ENSG00000164299,resources/sample_labels/gleaning_labels.csv
gleaning_ENSG00000165182,ENSG00000165182,resources/sample_labels/gleaning_labels.csv
gleaning_ENSG00000166268,ENSG00000166268,resources/sample_labels/gleaning_labels.csv
gleaning_ENSG00000167536,ENSG00000167536,resources/sample_labels/gleaning_labels.csv
gleaning_ENSG00000168005,ENSG00000168005,resources/sample_labels/gleaning_labels.csv
gleaning_ENSG00000170289,ENSG00000170289,resources/sample_labels/gleaning_labels.csv
gleaning_ENSG00000180938,ENSG00000180938,resources/sample_labels/gleaning_labels.csv
gleaning_ENSG00000185306,ENSG00000185306,resources/sample_labels/gleaning_labels.csv
gleaning_ENSG00000196678,ENSG00000196678,resources/sample_labels/gleaning_labels.csv
gleaning_ENSG00000197279,ENSG00000197279,resources/sample_labels/gleaning_labels.csv
gleaning_ENSG00000197798,ENSG00000197798,resources/sample_labels/gleaning_labels.csv
gleaning_ENSG00000197937,ENSG00000197937,resources/sample_labels/gleaning_labels.csv
gleaning_ENSG00000198556,ENSG00000198556,resources/sample_labels/gleaning_labels.csv
gleaning_ENSG00000205126,ENSG00000205126,resources/sample_labels/gleaning_labels.csv
gleaning_ENSG00000215529,ENSG00000215529,resources/sample_labels/gleaning_labels.csv
gleaning_ENSG00000240694,ENSG00000240694,resources/sample_labels/gleaning_labels.csv
gleaning_ENSG00000258839,ENSG00000258839,resources/sample_labels/gleaning_labels.csv
narrow_ENSG00000114626,ENSG00000114626,resources/sample_labels/narrow_labels.csv
open_ENSG00000067445,ENSG00000067445,resources/sample_labels/open_labels.csv
open_ENSG00000073331,ENSG00000073331,resources/sample_labels/open_labels.csv
open_ENSG00000102226,ENSG00000102226,resources/sample_labels/open_labels.csv
open_ENSG00000103310,ENSG00000103310,resources/sample_labels/open_labels.csv
open_ENSG00000113905,ENSG00000113905,resources/sample_labels/open_labels.csv
open_ENSG00000122188,ENSG00000122188,resources/sample_labels/open_labels.csv
open_ENSG00000132297,ENSG00000132297,resources/sample_labels/open_labels.csv
open_ENSG00000137090,ENSG00000137090,resources/sample_labels/open_labels.csv
open_ENSG00000146090,ENSG00000146090,resources/sample_labels/open_labels.csv
open_ENSG00000152926,ENSG00000152926,resources/sample_labels/open_labels.csv
open_ENSG00000154545,ENSG00000154545,resources/sample_labels/open_labels.csv
