sample,sequence,sequence_labels_csv
open_ENSG00000102226,ENSG00000102226,resources/sample_labels/open_labels.csv
open_ENSG00000103310,ENSG00000103310,resources/sample_labels/open_labels.csv
open_ENSG00000244731,ENSG00000244731,resources/sample_labels/open_labels.csv
edge_ENSG00000136002,ENSG00000136002,resources/sample_labels/edge_labels.csv
aerial_ENSG00000101353,ENSG00000101353,resources/sample_labels/aerial_labels.csv
aerial_ENSG00000136002,ENSG00000136002,resources/sample_labels/aerial_labels.csv
aerial_ENSG00000265203,ENSG00000265203,resources/sample_labels/aerial_labels.csv
gleaning_ENSG00000117724,ENSG00000117724,resources/sample_labels/gleaning_labels.csv
gleaning_ENSG00000160111,ENSG00000160111,resources/sample_labels/gleaning_labels.csv
gleaning_ENSG00000166268,ENSG00000166268,resources/sample_labels/gleaning_labels.csv
gleaning_ENSG00000185306,ENSG00000185306,resources/sample_labels/gleaning_labels.csv
passive_active_gleaning_ENSG00000117724,ENSG00000117724,resources/sample_labels/passive_active_gleaning_labels.csv
passive_active_gleaning_ENSG00000185306,ENSG00000185306,resources/sample_labels/passive_active_gleaning_labels.csv
passive_active_gleaning_ENSG00000197444,ENSG00000197444,resources/sample_labels/passive_active_gleaning_labels.csv
all_ENSG00000102226,ENSG00000102226,
all_ENSG00000103310,ENSG00000103310,
all_ENSG00000244731,ENSG00000244731,
all_ENSG00000136002,ENSG00000136002,
all_ENSG00000101353,ENSG00000101353,
all_ENSG00000265203,ENSG00000265203,
all_ENSG00000117724,ENSG00000117724,
all_ENSG00000160111,ENSG00000160111,
all_ENSG00000166268,ENSG00000166268,
all_ENSG00000185306,ENSG00000185306,
all_ENSG00000197444,ENSG00000197444,
