sample,sequence,sequence_labels_csv
open_ENSG00000244731,ENSG00000244731,resources/sample_labels/open_labels.csv
edge_ENSG00000136002,ENSG00000136002,resources/sample_labels/edge_labels.csv
aerial_ENSG00000136002,ENSG00000136002,resources/sample_labels/aerial_labels.csv
gleaning_ENSG00000117724,ENSG00000117724,resources/sample_labels/gleaning_labels.csv
gleaning_ENSG00000160111,ENSG00000160111,resources/sample_labels/gleaning_labels.csv
passive_active_gleaning_ENSG00000117724,ENSG00000117724,resources/sample_labels/passive_active_gleaning_labels.csv
clicking_ENSG00000099991,ENSG00000099991,resources/sample_labels/clicking_labels.csv
clicking_ENSG00000153165,ENSG00000153165,resources/sample_labels/clicking_labels.csv
clicking_ENSG00000183495,ENSG00000183495,resources/sample_labels/clicking_labels.csv
clicking_ENSG00000187627,ENSG00000187627,resources/sample_labels/clicking_labels.csv
clicking_ENSG00000196862,ENSG00000196862,resources/sample_labels/clicking_labels.csv
laryngeal_echo_ENSG00000238083,ENSG00000238083,resources/sample_labels/laryngeal_echo_labels.csv
